epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.98146,0.55935,0.98986,0.63806,0.0009973,24.9
2,0.84924,0.67498,0.95125,0.67162,0.0009891,23.9
3,0.78722,0.7084,0.93401,0.67009,0.0009755,23.2
4,0.75223,0.72346,0.91637,0.57917,0.0009568,25.3
5,0.72095,0.73381,1.12734,0.54287,0.000933,23.1
6,0.69497,0.74355,1.40821,0.76416,0.0009045,22.4
7,0.66829,0.75602,0.95575,0.70935,0.0008716,21.3
8,0.64698,0.76619,0.96115,0.49873,0.0008346,21.5
9,0.61705,0.778,1.42374,0.71148,0.0007939,21.6
10,0.60154,0.78087,1.29663,0.72094,0.00075,21.5
11,0.58131,0.78873,1.09128,0.68067,0.0007034,21.6
12,0.55385,0.7973,1.21459,0.72582,0.0006545,21.7
13,0.53809,0.80436,1.01363,0.64792,0.000604,21.6
14,0.51218,0.81349,2.12176,0.75114,0.0005523,21.4
15,0.48695,0.82074,1.35867,0.73477,0.0005,21.8
16,0.46611,0.83024,1.59465,0.74443,0.0004477,21.7
17,0.43431,0.84516,1.18267,0.65534,0.000396,21.4
18,0.40475,0.8509,1.23361,0.61477,0.0003455,21.1
19,0.38295,0.86121,1.29456,0.70396,0.0002966,21.7
20,0.35309,0.86879,1.3429,0.64772,0.00025,21.9
21,0.33792,0.87364,1.52992,0.74118,0.0002061,21.3
22,0.30261,0.88644,1.44625,0.66582,0.0001654,21.8
23,0.28275,0.89015,1.68105,0.73131,0.0001284,21.4
24,0.25617,0.90018,1.38464,0.64639,9.55e-05,21.0
25,0.23832,0.90611,1.80726,0.70467,6.7e-05,21.5
26,0.22332,0.91067,1.65711,0.71301,4.32e-05,22.1
27,0.21324,0.91439,1.61762,0.69857,2.45e-05,21.4
28,0.20509,0.91642,1.62966,0.70355,1.09e-05,21.6
29,0.19942,0.91825,1.71218,0.71423,2.7e-06,22.0
30,0.19513,0.91853,1.70731,0.71128,0.0,21.2
