epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,1.12067,0.3686,1.18661,0.64741,0.0009973,87.4
2,0.9902,0.57107,0.99761,0.59585,0.0009891,86.1
3,0.89216,0.65776,1.1836,0.69816,0.0009755,86.9
4,0.85627,0.68505,0.9946,0.61975,0.0009568,86.8
5,0.83033,0.68844,1.16094,0.69714,0.000933,87.4
6,0.8003,0.70463,1.07258,0.68768,0.0009045,86.9
7,0.78112,0.71193,1.11323,0.7248,0.0008716,86.4
8,0.75742,0.72647,0.94006,0.6525,0.0008346,86.0
9,0.74714,0.72816,1.06579,0.71799,0.0007939,86.8
10,0.72932,0.73598,0.9595,0.59402,0.00075,87.5
11,0.71289,0.74223,1.03484,0.67223,0.0007034,87.9
12,0.7041,0.74868,1.10572,0.70538,0.0006545,86.4
13,0.68234,0.75711,1.30382,0.6946,0.000604,87.2
14,0.65876,0.76708,1.04665,0.65982,0.0005523,88.3
15,0.66006,0.7644,1.01533,0.65239,0.0005,87.0
16,0.64276,0.77334,1.16073,0.66979,0.0004477,87.6
17,0.62629,0.78003,1.19426,0.69348,0.000396,87.4
18,0.61112,0.78516,1.19248,0.66551,0.0003455,87.2
19,0.59948,0.78822,1.20772,0.70172,0.0002966,85.9
20,0.58658,0.7957,1.3202,0.67985,0.00025,86.7
21,0.56803,0.80257,1.17916,0.65779,0.0002061,87.2
22,0.55734,0.80737,1.49395,0.69023,0.0001654,87.4
23,0.5453,0.8085,1.22312,0.68067,0.0001284,87.2
24,0.53283,0.81231,1.35902,0.69735,9.55e-05,87.3
25,0.52378,0.81932,1.42524,0.68545,6.7e-05,85.4
26,0.51274,0.82031,1.39534,0.69185,4.32e-05,86.4
27,0.50682,0.82361,1.35299,0.68565,2.45e-05,86.8
28,0.50555,0.82163,1.35935,0.68697,1.09e-05,87.4
29,0.4973,0.8254,1.38823,0.68687,2.7e-06,87.7
30,0.49584,0.82563,1.3976,0.68707,0.0,87.5
