epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,1.09868,0.34589,1.09827,0.41906,0.0001,9.9
2,1.03198,0.44436,0.94357,0.58814,0.0001,9.6
3,0.94239,0.52665,0.82789,0.66311,0.0001,9.6
4,0.88457,0.5691,0.79217,0.68618,0.0001,9.7
5,0.85535,0.58801,0.75099,0.71308,0.0001,9.7
6,0.83062,0.60435,0.82387,0.67636,0.0001,9.6
7,0.83287,0.60628,0.76734,0.70805,0.0001,9.5
8,0.81096,0.6214,0.71532,0.72533,0.0001,9.6
9,0.7971,0.62633,0.71953,0.71968,0.0001,9.6
10,0.7911,0.63316,0.77105,0.70351,0.0001,9.7
11,0.78028,0.64239,0.70997,0.72185,0.0001,9.7
12,0.77025,0.64818,0.74458,0.70346,0.0001,9.6
13,0.76694,0.65081,0.73263,0.71334,0.0001,9.6
14,0.7486,0.66492,0.75696,0.69273,0.0001,9.7
15,0.74855,0.66053,0.68063,0.73989,0.0001,9.6
16,0.75118,0.65927,0.7249,0.71535,0.0001,9.7
17,0.7368,0.6675,0.7178,0.71243,0.0001,9.7
18,0.73359,0.66729,0.74312,0.69419,0.0001,9.6
19,0.72661,0.67029,0.76631,0.67389,0.0001,9.6
20,0.71158,0.68183,0.72697,0.70119,0.0001,9.6
21,0.71389,0.68045,0.72299,0.7024,0.0001,9.6
22,0.70706,0.68366,0.72886,0.6958,0.0001,9.7
23,0.70439,0.68629,0.72789,0.69631,0.0001,9.7
24,0.69499,0.69059,0.76817,0.67439,0.0001,9.7
25,0.6896,0.69352,0.73561,0.6956,0.0001,9.6
26,0.68174,0.69952,0.77391,0.66935,0.0001,9.6
27,0.68734,0.69517,0.73181,0.69928,0.0001,9.7
28,0.67779,0.70126,0.74414,0.68427,0.0001,9.6
29,0.67118,0.70424,0.71255,0.70296,0.0001,9.6
30,0.66822,0.70608,0.68928,0.72276,0.0001,9.7
