epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,1.03853,0.44457,1.15027,0.61857,0.0001,65.0
2,0.90574,0.56362,1.09734,0.65036,0.0001,64.4
3,0.8291,0.61454,1.44559,0.55942,0.0001,55.6
4,0.79051,0.63797,1.03695,0.66306,0.0001,55.3
5,0.75399,0.66092,1.05757,0.59912,0.0001,55.4
6,0.71782,0.68132,1.13072,0.61283,0.0001,55.6
7,0.6995,0.69122,1.1834,0.5689,0.0001,56.0
8,0.67392,0.70815,1.12668,0.65016,0.0001,55.5
9,0.66435,0.70945,1.08749,0.61404,0.0001,55.4
10,0.63792,0.72754,1.10108,0.59353,0.0001,55.4
11,0.6316,0.72891,1.37473,0.51438,0.0001,55.4
12,0.61425,0.73637,1.34219,0.57706,0.0001,55.3
13,0.59745,0.74647,1.29863,0.59222,0.0001,56.3
14,0.58553,0.75179,1.09609,0.62361,0.0001,58.7
15,0.57973,0.75314,1.08643,0.6224,0.0001,58.8
16,0.56799,0.76207,1.15382,0.61383,0.0001,65.6
17,0.55341,0.76907,1.2276,0.57519,0.0001,69.1
18,0.54438,0.77374,1.04397,0.63192,0.0001,73.2
19,0.54553,0.77227,1.17758,0.58517,0.0001,74.9
20,0.52913,0.78088,1.05687,0.62724,0.0001,62.0
