epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,3.31973,0.6949,2.89137,0.71623,15.7
2,2.84248,0.7334,2.73504,0.7558,14.4
3,2.64952,0.76092,2.76716,0.74249,14.1
4,2.49292,0.77432,2.67562,0.74931,14.0
5,2.43889,0.78238,2.47049,0.76957,13.9
6,2.35647,0.79297,2.68109,0.76396,14.9
7,2.28761,0.79764,2.6094,0.75956,13.8
8,2.26272,0.79871,2.52294,0.7669,13.8
9,2.20094,0.80583,2.51778,0.78237,13.8
10,2.18406,0.80365,2.45483,0.77639,13.9
11,2.14097,0.81065,2.40576,0.77877,13.6
12,2.11403,0.81403,2.41762,0.7839,13.6
13,2.07147,0.81413,2.59976,0.76785,13.9
14,2.05134,0.81746,2.38686,0.78025,14.0
15,2.03923,0.8182,2.51267,0.77513,13.6
16,1.96508,0.82573,2.41842,0.77927,13.7
17,1.94081,0.82764,2.44761,0.78582,13.9
18,1.93718,0.82887,2.67748,0.76198,13.8
19,1.91756,0.82961,2.73169,0.75425,13.8
20,1.83183,0.83614,2.70349,0.72098,13.8
21,1.90178,0.83129,2.54968,0.76252,13.9
22,1.83214,0.83862,2.58327,0.76157,13.6
23,1.79228,0.84048,2.5476,0.77778,13.8
24,1.78414,0.84494,3.02132,0.74508,13.8
25,1.78576,0.84302,2.75294,0.76411,13.7
26,1.82221,0.83779,2.58427,0.76474,13.6
27,1.65273,0.85746,2.77492,0.71181,13.9
28,1.67033,0.85983,2.62502,0.76091,14.0
29,1.68894,0.85613,2.88506,0.73862,13.7
30,1.62184,0.85997,3.02064,0.72406,13.8
31,1.58563,0.86986,2.9288,0.71923,13.9
32,1.5939,0.86911,3.05589,0.71558,13.6
33,1.62521,0.86404,2.93631,0.74906,13.7
34,1.48567,0.88303,2.91463,0.74662,13.9
35,1.56235,0.86952,2.74317,0.75973,13.8
36,1.48772,0.88092,2.95663,0.74796,13.6
37,1.4382,0.8887,3.08426,0.73787,13.7
38,1.44409,0.88693,2.94925,0.70083,13.8
39,1.35287,0.89823,2.88422,0.74369,13.7
40,1.32713,0.90264,3.40512,0.68685,14.3
41,1.33317,0.90315,3.40368,0.70734,13.8
42,1.54399,0.87334,3.11641,0.74552,13.8
43,1.53313,0.8798,3.19998,0.70671,13.7
44,1.32679,0.90079,3.06,0.73735,13.8
45,1.23854,0.91271,3.13547,0.73743,14.0
46,1.28155,0.90717,3.07516,0.75011,13.7
47,1.27682,0.90816,3.25556,0.72744,13.6
48,1.20645,0.9163,3.06827,0.72856,13.8
49,1.20373,0.91573,3.11474,0.75221,13.8
50,1.15439,0.9226,3.23472,0.75413,13.7
